,engine,alpha,v,sum2,sum3,mean2,mean3,stdev2,stdev3
0,30.0,0.0,0.0,297814.29594766395,332384.80821009073,0.7755560426865137,0.8655831839242365,1.4610886163627246,1.3808081061126662
1,30.0,0.0,10.0,681075.5513457573,659048.1622536315,1.773629629469083,1.7162667864240757,3.7662912960391095,3.6346247744034446
2,30.0,0.0,12.0,832257.2083789901,856659.041875458,2.167330836062901,2.230877111974859,5.0097759009177505,4.818897486942524
3,30.0,0.0,15.0,1221522.2467140052,1337555.8199246493,3.1810392335280513,3.4832092101964562,6.5064737775966694,6.893783275920032
4,30.0,0.0,16.0,1403563.5755646082,1533095.902847636,3.6551039595329393,3.9924268500541302,7.266893670300413,7.740098209680198
5,30.0,0.0,18.0,1895926.405312696,2032387.3285942099,4.937295489628141,5.292661551907964,8.802339940615036,9.533693918570448
6,30.0,0.0,7.0,501087.30908642476,525749.5749305552,1.3049114692056134,1.369135952590111,2.404361111996206,2.4928962741701355
7,30.0,10.0,10.0,698708.6844399518,761213.4917679074,1.8195491273198554,1.98232163918299,3.563696026239315,4.048048711832358
8,30.0,10.0,12.0,904450.7610526559,1033862.4945200973,2.3553343898913175,2.692343234835579,4.751708905110649,5.779991337970492
9,30.0,10.0,15.0,1451789.0072951727,1582122.5250827472,3.780690694282496,4.12010001297587,8.051336852148308,8.819843702010427
10,30.0,10.0,16.0,1645388.7681940955,1756628.5786510366,4.28485542536112,4.574541677368123,8.773923083808217,9.507074232681965
11,30.0,10.0,7.0,468599.17467066756,543435.2934476673,1.2203071728216008,1.4151923912897812,1.9594249342788748,2.5633010278593784
12,30.0,15.0,10.0,747920.6378448436,767748.2755428138,1.9477049222393785,1.9993392609467522,4.605843828766972,4.79996900078738
13,30.0,15.0,12.0,924387.0594606092,978644.215624766,2.4072516984607053,2.548546008017599,5.610485835908239,6.080714376130048
14,30.0,15.0,15.0,1414919.6854544021,1610555.890095496,3.684677085357596,4.1941450415376424,8.583472111891476,9.799704826880717
15,30.0,15.0,7.0,452868.1374050402,538596.6492576364,1.1793410366250094,1.4025917881923131,2.527931694507744,3.0335606415316976
16,30.0,20.0,10.0,824370.2373564409,684999.6678325309,2.1467919025118185,1.7838486562080071,5.638204897017089,4.739924461035057
17,30.0,20.0,12.0,1044488.4602343978,929091.5695096527,2.7200149484881493,2.419502994809005,6.969364571221077,6.598018767298623
18,30.0,20.0,12.0,1040415.248446707,930673.6342656119,2.7094076537475345,2.423622944381947,6.864289679462098,6.503123951274157
19,30.0,20.0,14.0,1214805.101391129,1195405.4974301537,3.1635467131364994,3.1130270427164346,7.931529508419912,8.325864661345758
20,30.0,20.0,7.0,547709.5742659451,541891.3748857144,1.4263233019339667,1.411171780505036,3.554561908075911,3.3308200668697
21,30.0,30.0,10.0,1138358.9076867169,1769966.6825438084,2.9644686021305073,4.6092762324676455,11.686726400440744,14.028461814514163
22,30.0,30.0,12.0,1383957.3198322093,2576585.9562832275,3.6040461348595687,6.709841787607917,14.420692963823083,20.026790854943417
23,30.0,30.0,14.0,1497749.497168207,3280268.958457511,3.9003791583048146,8.542344833626764,14.472118802437377,24.260350461428892
24,30.0,30.0,7.0,652606.9811590213,1016000.6473328486,1.6994929210054694,2.645828128918541,6.235947544686769,7.888652133200599
25,30.0,45.0,10.0,2092057.468381002,4362625.215520725,5.448052136273088,11.360973579549857,19.948337663001887,28.149430271715353
26,30.0,45.0,12.0,1209061.8709058727,2100472.231070959,3.1485904226964845,5.469965523712071,12.573421928726393,14.83335188524254
27,30.0,45.0,13.5,1119871.9562100258,1928540.9379074275,2.916325624698961,5.022228947079376,13.087392980930854,13.970319765489624
28,30.0,45.0,7.0,1117664.2694542692,1833225.946485913,2.910576455410973,4.7740134699803205,10.647757493086342,13.021573165652509
29,30.0,5.0,10.0,663357.5405411795,734995.2641243399,1.7274890964897995,1.9140451824978058,3.5590242305574207,3.9874649076819524
30,30.0,5.0,12.0,905425.7053774686,942573.6771961434,2.3578733007921038,2.4546125588114185,4.883847183458681,4.976769396870757
31,30.0,5.0,15.0,1344352.624593523,1401546.9973553177,3.50090917626132,3.649852467455339,6.862211682479581,7.077685341659504
32,30.0,5.0,16.0,1678288.685445583,1725056.8846335155,4.370532070087273,4.492323938306191,8.369929651012484,8.49328161444667
33,30.0,5.0,7.0,521127.98471690435,544222.060721011,1.3571005927508115,1.417241259061854,2.360953846873259,2.5696293622927664
34,30.0,60.0,10.0,463722.8846600316,515277.0359400554,1.207608533988275,1.3418637866569498,4.337109262683657,4.18321410181815
35,30.0,60.0,12.0,489478.62039640883,588441.2041958742,1.2746805878016172,1.5323949786481654,5.268351502512003,5.729694396696159
36,30.0,60.0,7.0,417699.8895040987,465679.5129609761,1.0877572962156314,1.212703906919451,3.565198306621178,3.479960344566107
37,30.0,75.0,10.0,514394.6362870152,628717.961707735,1.3395658768779644,1.637282094858438,6.483320818855645,7.494101290788339
38,30.0,75.0,7.0,371594.44438422844,443861.1383006707,0.9676913455543825,1.1558853708731767,3.063764033211041,3.3005524863264863
39,30.0,90.0,10.0,701801.5182780232,749435.058460038,1.8276033611319324,1.9516487156544853,9.794470626256226,9.86948718379561
40,30.0,90.0,5.0,416244.10607216274,464901.1615452712,1.0839662034009359,1.210676955386239,3.1802711419542793,2.9442690845626527
41,30.0,90.0,7.0,413168.2335774751,477640.14888871,1.0759561396388946,1.243851315201549,3.408479085803484,3.525549696673506
42,40.0,0.0,0.0,300707.8403679965,337842.4735041101,0.7830912949914102,0.8797958169486801,1.2446483030844167,1.28948842025566
43,50.0,0.0,0.0,375037.63891308225,408515.32606159284,0.9766579746226761,1.0638392245374175,2.499607583144334,2.520917576543457
44,60.0,0.0,0.0,312726.3248936855,346044.7945049811,0.8143893502717063,0.9011559722630438,3.4441157818545474,3.0246459083417734
45,0.0,0.0,0.0,343994.6174108645,295935.3003184974,0.8958169833173989,0.7706628376449473,2.0022627105195334,1.9683053074048116
46,0.0,0.0,10.0,594419.8866863609,599978.9261435631,1.5479644237550447,1.5624410513086244,3.038176817875446,3.517647532892292
47,0.0,0.0,12.0,705304.3322085323,738598.3756186643,1.8367252486543844,1.9234282609125088,3.6499225234210266,4.297023577322038
48,0.0,0.0,15.0,1155694.5337358788,1342071.6007153364,3.0096133440691006,3.4949690253810184,5.7393898224244735,7.408308622307977
49,0.0,0.0,7.0,354936.27874990954,385877.2442687969,0.9243108188517987,1.0048860400592625,1.3838923005464352,2.0051511792241192
50,0.0,10.0,10.0,572091.6184771756,590736.4323114264,1.4898180433831567,1.5383721196336113,3.0245255040258257,3.680970360270289
51,0.0,10.0,12.0,879284.1584998982,901368.6513557538,2.28979653308168,2.3473080834574747,4.920266149071156,5.888904395219877
52,0.0,10.0,15.0,1390121.9367937322,1592215.028614723,3.6200997830571593,4.146382505813065,7.4935932865077755,9.841502371813972
53,0.0,10.0,7.0,426661.4598147025,454126.8531854053,1.1110946581251155,1.182618933766853,1.954110971840076,2.7495096903202407
54,0.0,15.0,10.0,736466.5960332487,692124.6663157811,1.917876766032507,1.802403291438775,4.571713842091233,4.887567214951446
55,0.0,15.0,12.0,1031994.8483911597,964386.0319768013,2.687479585707224,2.511415418128602,6.28319614738574,6.771531076173615
56,0.0,15.0,15.0,1537691.402812739,1434477.6821511758,4.004394266714772,3.735609235786302,8.840874222481347,9.494753401790343
57,0.0,15.0,7.0,493210.1997789477,491105.97660874383,1.2843982171373192,1.278918483568386,2.8958200173264155,3.330799772785743
58,0.0,20.0,10.0,1073774.1567414824,668653.1110404821,2.7962795845361925,1.7412796087522742,8.401326856111222,5.531815559175634
59,0.0,20.0,12.0,1305828.3457264823,787723.6700091818,3.4005857946372076,2.0513583819031247,9.586017096479486,6.514426446311271
60,0.0,20.0,7.0,796059.6027585471,513827.01428386424,2.073066483573082,1.3380876984275152,7.1085600523752515,4.465360443403192
61,0.0,30.0,10.0,1629970.2638011896,1197359.4134469407,4.244703174734414,3.118115352426011,16.51249074233994,11.125172677907674
62,0.0,30.0,12.0,2140153.61554413,1864050.3457993874,5.573302193338377,4.854285134151701,22.873621185045053,17.75797862885691
63,0.0,30.0,7.0,881512.2748049169,790112.604761256,2.295598904182325,2.0575795499523597,7.7462283704224575,6.635836764064828
64,0.0,45.0,10.0,404986.86733395944,294693.7535615988,1.0546505538630353,0.7674296513852796,3.77825075793853,2.19580335415201
65,0.0,45.0,7.0,332200.8241619924,254394.6411125588,0.8651040600466988,0.6624843193443736,1.33076190851798,1.1138733529648404
66,0.0,5.0,10.0,544359.0746585056,611517.8826535394,1.4175980652615634,1.5924903389666678,2.685801475688514,3.62287656464255
67,0.0,5.0,12.0,711012.7661667966,868004.7980163682,1.8515909233746697,2.2604232749820135,3.703222111211111,5.297438731626877
68,0.0,5.0,15.0,1421477.1615889617,1427909.4578215813,3.7017538016540628,3.718504529471489,7.289936311212635,8.235604839511927
69,0.0,5.0,7.0,401733.08646268066,404427.4286691123,1.0461771882434698,1.0531936861339224,1.6761821766911296,2.2064077424839135
70,0.0,60.0,10.0,803989.8117433479,464777.05376020324,2.0937180156909694,1.210353758870949,9.400414953723066,7.118146192012377
71,0.0,60.0,10.0,846133.9801419968,500165.50429265434,2.203468168421428,1.3025109421398755,10.005624454717731,7.183044386532601
72,0.0,60.0,10.0,276352.4331502758,358591.8716298366,0.7196659205321752,0.9338305671855975,3.1707064927474278,2.9343828592038546
73,0.0,60.0,7.0,366135.4078440894,278254.979936156,0.9534751415858016,0.7246204565513007,3.1327255593709546,3.0454922486883995
74,0.0,60.0,7.0,365266.4702521911,249329.861009153,0.9512122891664113,0.6492948221727366,2.1500647266782003,1.6686071464718122
75,0.0,60.0,7.0,240544.1900464222,320989.2150770706,0.626415530288781,0.8359072374214405,2.137638098900855,2.0469735120270887
76,0.0,75.0,10.0,557703.7502271559,408125.62084897584,1.452349734055786,1.0628243698557447,8.03272109992672,6.093801022311374
77,0.0,75.0,10.0,370133.0693960337,434431.5585978494,0.963885691433183,1.1313292376786763,6.327519515949511,5.485154894674809
78,0.0,75.0,7.0,360813.36947102647,271356.22701297636,0.9396157027482388,0.7066550009322277,3.3457534169524163,2.9690379550350157
79,0.0,75.0,7.0,217656.3134688954,319335.5768615304,0.5668118402527478,0.8316008991162274,2.587287481071982,2.614743456547848
80,0.0,90.0,10.0,571591.061140495,569839.1360957033,1.4885145120468306,1.483952219123657,10.939647105611604,9.206672805311053
81,0.0,90.0,5.0,276874.38598475186,361802.05680914817,0.7210251691655799,0.9421904026529831,2.5233833845466775,2.5584148088176613
82,0.0,90.0,7.0,409706.39925629646,322578.91073572537,1.0669409695711638,0.8400470590850685,3.8627351267349503,3.1578692522723193
83,0.0,90.0,7.0,249820.1905755397,327901.47386355564,0.6505717187599503,0.8539078644679458,3.7817900199534833,3.5760240112206487
84,-1.0,0.0,0.0,374125.03268964397,297061.53339539556,0.9742814021047965,0.773595728644966,1.227953059551988,1.1100890264744732
85,-1.0,0.0,10.0,602932.2153305293,605895.5495612912,1.5701318885381268,1.5778488846677254,2.7113615420049095,3.272565932607715
86,-1.0,0.0,12.0,807763.3368585927,725404.7207557976,2.103544878421131,1.8890698741820922,3.9333776072330737,3.953306305545232
87,-1.0,0.0,15.0,1165613.1062898608,1308517.1364522602,3.0354428928306456,3.407587835584439,5.634269109312216,7.124475002374968
88,-1.0,0.0,18.0,1944335.2258307615,2253593.095573054,5.063359798101467,5.868716736604994,9.212196524983069,11.460727306762028
89,-1.0,0.0,19.5,2386745.0186169287,2668412.029369949,6.215465633206499,6.948971563537462,10.982760319994613,13.173959973132476
90,-1.0,0.0,7.0,396864.89805744076,405361.81073959195,1.0334996472859206,1.055626966439129,1.282780020796139,1.8521688206292655
91,-1.0,10.0,10.0,724686.6001954739,687824.8943427097,1.8871997734263033,1.791205997751854,3.9879139832153796,4.3013741100946
92,-1.0,10.0,12.0,929041.2842190028,962994.1144596686,2.419372043872289,2.507790642367256,5.118585917447642,6.029688343993201
93,-1.0,10.0,15.0,1484066.509495227,1557460.073399261,3.864746470699886,4.055875045635978,8.013326245345677,9.47415688508757
94,-1.0,10.0,16.0,1774212.55085455,1834862.9802200657,4.620333152399473,4.778276567561193,9.394447582123233,10.878827414980291
95,-1.0,10.0,7.0,451538.05126431177,461710.33814537525,1.1758772796537296,1.2023675410881098,1.9110655143046327,2.4989068208107965
96,-1.0,15.0,10.0,792176.5454999701,751418.9277254948,2.0629543816291367,1.956815028412673,4.86701053822141,5.157106481580427
97,-1.0,15.0,12.0,1133792.7705213989,975890.4511173014,2.952577650895177,2.5413747649545217,6.962185749024842,6.77895860885666
98,-1.0,15.0,15.0,1525487.8046706936,1497776.9198820118,3.9726141459805926,3.9004505714360427,8.991666586277415,10.085185052045565
99,-1.0,15.0,7.0,504490.58293965016,489846.4162521211,1.3137741384518533,1.2756383870149326,2.6285927008140444,3.0624134331936363
100,-1.0,20.0,10.0,918491.6421836612,666353.2660203681,2.3918990892827394,1.7352904446091757,6.412080331882923,5.216327951969104
101,-1.0,20.0,12.0,1083998.0438795204,868010.9424654341,2.8229042212898414,2.2604392761097865,7.275165559790707,6.8355017261925815
102,-1.0,20.0,14.0,1329260.6495019917,1204599.2291035086,3.46160726014253,3.1369689899336426,8.734008440515701,9.090637999117549
103,-1.0,20.0,7.0,612861.0184709895,537209.8033437966,1.5959880793825785,1.3989802196968149,4.271686048375113,4.100058270833013
104,-1.0,30.0,10.0,1168110.2398908227,1791789.629186269,3.041945827981757,4.666106674686444,11.82892906149748,14.802226372646293
105,-1.0,30.0,12.0,1500421.8430397336,2435520.2770037097,3.90733837422229,6.342484204477878,16.120629201518117,20.893970056374084
106,-1.0,30.0,13.5,1681661.012942629,2925108.553551047,4.379314150074164,7.617450354428887,18.236014630194436,25.83691556641857
107,-1.0,30.0,7.0,775121.2234071397,849577.9271495554,2.0185395960092283,2.212436757064579,6.614542068989864,7.250431456672225
108,-1.0,45.0,10.0,466054.3325080303,364936.1500836854,1.2136799969480034,0.9503520826343822,4.108670575470526,2.782920404234877
109,-1.0,45.0,12.0,590834.5889449301,450955.2652125502,1.5386277352010285,1.1743596115961943,7.267199396785668,5.118691847084195
110,-1.0,45.0,13.5,800668.5053515956,647655.579988836,2.085068802819773,1.6865986807035294,10.282011856319498,7.588369092055314
111,-1.0,45.0,7.0,431502.9811979404,359739.62253108004,1.123702753893715,0.9368194940405885,2.1719776282999472,2.067095603402302
112,-1.0,5.0,10.0,594439.0659198877,553945.3227061988,1.5480143695456203,1.4425621878750283,2.787934187310207,2.926925711877265
113,-1.0,5.0,12.0,858722.9107061421,910021.7824841563,2.2362517563916295,2.3698422204217082,4.43417931279541,5.316256506055853
114,-1.0,5.0,15.0,1341618.6296303715,1446812.4600208479,3.4937894162524876,3.7677309695048917,6.866085802371724,8.140235704603956
115,-1.0,5.0,16.0,1649788.8204691296,1728849.821088969,4.296313864987669,4.502201351269838,8.301375132788941,9.544362884443725
116,-1.0,5.0,7.0,456346.1088333289,442727.90829643083,1.1883982302997358,1.1529342587556564,1.8945045579671644,2.23829847155716
117,-1.0,60.0,10.0,888182.6305259182,478809.5176116259,2.3129695769696386,1.2468965383205406,10.230270797376118,6.406805056005068
118,-1.0,60.0,10.0,549453.9485939287,428123.20121131535,1.4308659315833259,1.1149012664324192,4.543834384420951,4.184152046418427
119,-1.0,60.0,12.0,1401617.7558822942,726677.5659819501,3.650036733972813,1.8923845666598529,16.981045524175762,11.286382222123327
120,-1.0,60.0,12.0,670772.2422261803,568922.6903379898,1.7467981651771227,1.4815656478446406,7.3089748587227374,6.417467416039994
121,-1.0,60.0,7.0,440711.3657031912,341536.55504609883,1.1476828594279473,0.8894157959122472,3.2361126314442843,2.641144755188626
122,-1.0,60.0,7.0,474064.05000896315,363643.1771349285,1.2345385819541177,0.946984974348839,2.932787814348574,2.774956054637463
123,-1.0,75.0,10.0,644949.842130855,422347.9958090427,1.6795525067144486,1.0998617081961837,7.779919716817411,5.935802883590346
124,-1.0,75.0,7.0,408349.64962016407,292936.17834830406,1.0634077765947592,0.7628526445199467,2.3810575244293046,2.21376886513079
125,-1.0,90.0,10.0,839649.8847576879,517860.6050471055,2.186582547331095,1.3485918136856558,15.152702342354209,9.954633719296071
126,-1.0,90.0,5.0,419708.8205192314,269257.359107099,1.0929888737769728,0.7011892133278272,2.4731569192031873,1.7944817612960073
127,-1.0,90.0,7.0,513887.4413947915,342487.8679812321,1.3382450602857583,0.8918931668960032,5.073628286924353,3.501676714852661
